代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	
000001	平安银行	-2.65	12.12	-0.33	12.12	12.13	764532	4378	0.00	          0.65	12.31	12.38	12.08	12.45	     7.33	934906560	  0.75	银行	深圳	2.41	12.23	443573	320959	  1.38	3286	6083	--  	
000002	万  科Ａ	-0.89	18.98	-0.17	18.97	18.98	3768010	58763	-0.21	          3.88	18.90	19.84	18.60	19.15	    22.92	7225321984	  1.06	全国地产	深圳	6.48	19.18	2049091	1718918	  1.19	5337	7098	--  	
000004	国农科技	1.83	40.12	0.72	40.00	40.12	35280	263	-0.12	          4.21	39.13	40.62	39.01	39.40	  1063.22	140870176	  1.09	生物制药	深圳	4.09	39.93	14908	20372	  0.73	7	76	--  	
000005	世纪星源	0.00	9.66	0.00	9.65	9.66	375359	7305	0.20	          4.11	9.67	9.86	9.55	9.66	--  	364304832	  0.79	区域地产	深圳	3.21	9.71	193135	182224	  1.06	17	5814	--  	
000006	深振业Ａ	0.86	11.74	0.10	11.74	11.75	413145	4090	-0.08	          3.08	11.57	11.88	11.40	11.64	    42.94	483255008	  0.89	区域地产	深圳	4.12	11.70	197599	215545	  0.92	347	1793	--  	
000007	零七股份	2.69	21.00	0.55	20.99	21.00	154915	2904	-0.14	          7.52	20.40	21.80	20.25	20.45	--  	326256832	  1.02	酒店餐饮	深圳	7.58	21.06	74673	80241	  0.93	53	4445	--  	
000008	神州高铁	0.25	11.93	0.03	11.93	11.94	210074	2338	-0.08	          3.28	11.89	12.08	11.75	11.90	   225.00	250513680	  0.71	综合类	北京	2.77	11.93	116822	93251	  1.25	424	607	--  	
000009	中国宝安	-1.66	18.37	-0.31	18.36	18.37	745180	9110	-0.16	          5.00	18.55	18.92	18.10	18.68	    32.27	1379924864	  0.49	全国地产	深圳	4.39	18.52	369669	375511	  0.98	2155	9855	--  	
000010	深华新	10.00	10.01	0.91	10.01	--  	237074	1794	0.00	          5.81	9.06	10.01	9.06	9.10	  1915.39	232452240	  1.11	建筑施工	北京	10.44	9.81	139624	97449	  1.43	84948	0	--  	
000011	深物业A	3.73	15.00	0.54	14.99	15.00	154396	1709	0.00	          8.78	14.48	15.49	14.31	14.46	   144.33	232753680	  1.23	区域地产	深圳	8.16	15.08	70777	83619	  0.85	298	51	--  	
000012	南  玻Ａ	1.85	11.02	0.20	11.01	11.02	283974	3116	0.09	          2.18	10.87	11.19	10.64	10.82	    43.53	310414432	  1.79	玻璃	深圳	5.08	10.93	146360	137613	  1.06	1053	2721	--  	
000014	沙河股份	1.72	23.07	0.39	23.06	23.07	66908	503	-0.04	          3.32	22.51	23.58	22.43	22.68	--  	153871488	  0.93	全国地产	深圳	5.07	23.00	29498	37410	  0.79	109	307	--  	
000016	深康佳Ａ	3.92	7.69	0.29	7.69	7.70	1252550	19242	0.00	         10.44	7.36	7.76	7.28	7.40	--  	949582464	  1.20	家用电器	深圳	6.49	7.58	629970	622579	  1.01	6224	11449	--  	
000017	深中华A	9.99	15.86	1.44	15.86	--  	368849	107	0.00	         12.17	14.50	15.86	14.42	14.42	 12187.85	563878400	  1.88	文教休闲	深圳	9.99	15.29	194603	174245	  1.12	36962	0	--  	
000018	中冠A	0.15	32.85	0.05	32.80	32.85	17403	75	0.00	          1.75	32.62	33.28	32.32	32.80	    45.40	57159884	  0.83	纺织	深圳	2.93	32.84	8668	8734	  0.99	37	69	--  	
000019	深深宝Ａ	3.12	18.19	0.55	18.19	18.20	308378	5190	-0.49	         12.22	17.33	19.40	17.32	17.64	--  	572336768	  1.33	软饮料	深圳	11.79	18.56	154219	154158	  1.00	1482	1192	--  	
000020	深华发Ａ	-4.60	29.23	-1.41	29.23	29.24	161641	2030	0.00	         24.99	30.05	30.53	28.31	30.64	   310.47	476914080	  0.78	元器件	深圳	7.25	29.50	87677	73964	  1.19	83	344	--  	
000021	深科技	1.67	13.98	0.23	13.98	13.99	450369	5632	0.00	          3.06	13.60	14.25	13.52	13.75	   109.92	628867392	  0.70	电脑设备	深圳	5.31	13.96	204229	246139	  0.83	443	1185	--  	
000022	深赤湾Ａ	0.16	19.15	0.03	19.14	19.15	52394	709	0.00	          1.13	19.00	19.60	18.83	19.12	    22.18	100811928	  1.14	港口	深圳	4.03	19.24	27369	25024	  1.09	176	74	--  	
000023	深天地Ａ	--  	30.53	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	30.53	   116.62	0	  0.00	建筑施工	深圳	0.00	30.53	0	0	--  	0	0	--  	
